image,num_pred,num_gt,TP,FP,FN,Precision@0.5,Recall@0.5,F1@0.5,MeanDice@0.5
S10-11717_Med_D1_405_1354.tif,149,141,123,26,18,0.825503355649295,0.8723404254700468,0.8482758570142688,0.8452074527740479
S10-11717_Med_D2_405_1270.tif,127,121,109,18,12,0.8582677164678529,0.9008264462065433,0.8790322529965531,0.8601600527763367
S10-11717_Med_D2_405_609.tif,203,177,145,58,32,0.7142857142505278,0.8192090395017395,0.763157889720083,0.7870708107948303
S10-11717_Med_D7_405_1050.tif,77,77,74,3,3,0.9610389609141509,0.9610389609141509,0.9610389559141509,0.8941530585289001
S10-11717_Med_D8_405_1093.tif,57,56,54,3,2,0.9473684208864266,0.9642857141135204,0.9557522072206125,0.8963914513587952
S10-11717_Med_D8_405_1226.tif,106,76,72,34,4,0.6792452829547883,0.9473684209279779,0.7912087862576984,0.8676037788391113
S10-11717_Med_D8_405_2358.tif,84,74,59,25,15,0.7023809522973357,0.7972972971895544,0.7468354379634675,0.843098521232605
S10-11717_Med_D9_405_1485.tif,136,122,112,24,10,0.8235294117041522,0.9180327868099973,0.8682170492109849,0.8512595891952515
S10-11717_Med_D9_405_219.tif,33,19,16,17,3,0.48484848470156106,0.8421052627146814,0.6153846105103551,0.8491751551628113
S10-11717_Med_D9_405_482.tif,145,141,131,14,10,0.9034482757997622,0.9290780141185051,0.9160839110208324,0.8650789856910706
S18-11155_D1_405_863.tif,64,64,63,1,1,0.9843749998461915,0.9843749998461915,0.9843749948461915,0.9170164465904236
S18-11155_D2_405_557.tif,42,22,22,20,0,0.5238095236848073,0.9999999995454545,0.6874999952734375,0.8838217258453369
S18-11155_D5_405_492.tif,39,42,39,0,3,0.9999999997435898,0.9285714283503401,0.9629629577320531,0.918414294719696
S18-11155_D5_405_535.tif,73,71,67,6,4,0.9178082190523551,0.9436619716980759,0.9305555504272764,0.8806161284446716
S18-11155_D5_405_537.tif,90,77,71,19,6,0.7888888888012346,0.9220779219581717,0.8502993961260713,0.8402081727981567
S18-11155_D6_405_224.tif,16,19,9,7,10,0.5624999996484374,0.4736842102770083,0.5142857090285715,0.8230196237564087
S18-11155_D6_405_855.tif,50,37,36,14,1,0.7199999998559999,0.9729729727100073,0.8275862018179415,0.8967106342315674
S18-11155_D7_405_1323.tif,124,122,112,12,10,0.9032258063787721,0.9180327868099973,0.9105691006173575,0.9024401903152466
S18-11155_D7_405_1414.tif,126,125,112,14,13,0.8888888888183422,0.89599999992832,0.8924302738134317,0.8969531655311584
S18-11155_D9_405_586.tif,72,87,71,1,16,0.9861111109741513,0.8160919539291849,0.8930817559384518,0.8852436542510986
S18-22259_D11_405_1960.tif,63,61,55,8,6,0.8730158728772991,0.9016393441144853,0.8870967690517692,0.8571197390556335
S18-22259_D11_405_2258.tif,81,77,76,5,1,0.9382716048224357,0.9870129868848035,0.9620253113371255,0.8990022540092468
S18-22259_D12_405_2144.tif,112,113,106,6,7,0.9464285713440689,0.9380530972621193,0.9422222171385679,0.8742383718490601
S18-22259_D2_405_2122.tif,118,108,99,19,9,0.8389830507763574,0.9166666665817902,0.8761061896225234,0.8256898522377014
S18-22259_D3_405_1784.tif,95,84,74,21,10,0.7789473683390582,0.8809523808475057,0.8268156373846011,0.8331502676010132
S18-22259_D4_405_2366.tif,33,30,29,4,1,0.8787878785215794,0.9666666663444444,0.9206349153539934,0.9002258777618408
S18-22259_D6_405_1987.tif,118,115,82,36,33,0.6949152541783971,0.7130434781988658,0.7038626558846176,0.8157691955566406
S18-22259_D6_405_2273.tif,109,102,100,9,2,0.9174311925763825,0.9803921567666283,0.9478672934938569,0.8794978857040405
S18-22259_D6_405_2377.tif,119,108,99,20,9,0.8319327730393334,0.9166666665817902,0.8722466909701334,0.8168151378631592
S18-22259_D8_405_1924.tif,91,93,80,11,13,0.8791208790242725,0.8602150536709446,0.8695652122973773,0.8597452044487
S19-18536_D10_405_305.tif,24,27,24,0,3,0.9999999995833333,0.8888888885596707,0.9411764652364475,0.913341224193573
S19-18536_D1_405_522.tif,6,14,3,3,11,0.49999999916666665,0.21428571413265304,0.2999999955,0.7239934802055359
S19-18536_D1_405_701.tif,114,115,98,16,17,0.8596491227316098,0.8521739129693763,0.8558951914318951,0.8154433965682983
S19-18536_D2_405_579.tif,81,79,74,7,5,0.9135802468007926,0.936708860640923,0.9249999948851564,0.865925133228302
S19-18536_D2_405_607.tif,5,5,5,0,0,0.9999999980000001,0.9999999980000001,0.9999999930000001,0.9188551902770996
S19-18536_D2_405_675.tif,71,76,67,4,9,0.9436619716980759,0.8815789472524239,0.9115646207321025,0.9044602513313293
S19-18536_D3_405_505.tif,74,71,65,9,6,0.8783783782596787,0.9154929576175362,0.8965517190164091,0.8556908965110779
S19-18536_D3_405_636.tif,25,22,20,5,2,0.79999999968,0.9090909086776859,0.8510638244454505,0.8928117752075195
S19-18536_D4_405_333.tif,9,8,8,1,0,0.8888888879012344,0.9999999987499999,0.9411764644982699,0.9193307161331177
S19-18536_D8_405_565.tif,53,59,53,0,6,0.9999999998113207,0.8983050845935076,0.9464285662739159,0.9045635461807251
S19-3917_B_D10_405_549.tif,46,44,39,7,5,0.8478260867722117,0.88636363616219,0.8666666614765433,0.9157553315162659
S19-3917_B_D10_405_648.tif,35,37,31,4,6,0.8857142854612244,0.8378378376113952,0.8611111058757717,0.9250212907791138
S19-3917_B_D2_405_475.tif,84,77,68,16,9,0.8095238094274377,0.8831168830021927,0.8447204917989276,0.885137677192688
S19-3917_B_D2_405_565.tif,11,5,5,6,0,0.45454545413223135,0.9999999980000001,0.6249999949218751,0.8918182253837585
S19-3917_B_D3_405_424.tif,20,15,14,6,1,0.6999999996499999,0.9333333327111111,0.799999994644898,0.8909750580787659
S19-3917_B_D5_405_1018.tif,13,12,11,2,1,0.8461538455029586,0.9166666659027777,0.879999994304,0.8904989361763
S19-3917_B_D5_405_466.tif,28,23,22,6,1,0.7857142854336735,0.9565217387145557,0.8627450927489427,0.916239321231842
S19-3917_B_D6_405_739.tif,45,48,38,7,10,0.8444444442567901,0.7916666665017361,0.817204295904729,0.9207568764686584
S19-3917_B_D7_405_377.tif,5,3,3,2,0,0.5999999988,0.9999999966666667,0.7499999934375,0.9594987034797668
S19-3917_B_D8_405_472.tif,24,29,21,3,8,0.8749999996354166,0.72413793078478,0.7924528249341402,0.906847357749939
